,dealer_player,deck,hit_prob,stand_prob
210,[20 10],[0 1 0 0 2 0 0 0 2 0 2 2 4],0.0,1.0
211,[11  6],[2 0 2 1 0 1 3 1 0 0 2 1 0],1.0,0.0
212,[ 9 10],[2 1 0 1 3 0 2 0 0 1 2 0 1],1.0,0.0
213,[8 3],[1 1 2 2 0 2 1 1 1 1 1 0 0],1.0,0.0
214,[20  6],[0 2 1 1 2 2 0 1 0 2 1 0 1],0.0,1.0
215,[15  3],[0 0 2 2 3 1 1 1 0 0 1 0 2],0.3609254821105098,0.6390745178894902
216,[17 11],[3 0 1 0 0 1 1 1 0 1 1 4 0],0.0,1.0
217,[19  3],[2 2 1 0 1 1 0 2 1 1 0 1 1],0.0,1.0
218,[20  8],[0 2 0 1 2 1 0 1 1 3 1 1 0],0.0,1.0
219,[20  2],[1 1 1 1 0 1 1 2 1 1 2 0 1],0.0,1.0
220,[13  3],[0 1 2 1 0 1 1 0 2 1 1 1 2],0.5159910239563961,0.48400897604360393
221,[11  4],[0 2 0 2 1 1 2 0 1 1 1 0 2],1.0,0.0
222,[17  5],[1 0 1 1 1 1 3 1 1 1 0 1 1],0.0,1.0
223,[21  3],[2 0 1 0 1 1 1 1 1 2 1 1 1],0.0,1.0
224,[14 10],[2 0 1 2 1 0 0 0 0 4 0 1 2],0.5802296872861767,0.4197703127138232
225,[11 11],[3 1 2 0 2 0 2 0 2 0 0 1 0],1.0,0.0
226,[18 11],[3 1 2 0 2 0 3 0 2 0 0 1 0],0.0,1.0
227,[20  8],[0 2 1 1 1 1 1 1 0 1 0 2 2],0.0,1.0
228,[20 10],[1 1 0 1 1 0 1 2 1 2 1 1 1],0.0,1.0
229,[10  7],[1 1 1 0 0 2 2 2 0 1 0 1 2],1.0,0.0
230,[11  9],[2 1 0 1 2 1 1 0 3 0 1 1 0],1.0,0.0
231,[4 5],[0 3 1 2 2 1 1 0 0 0 1 1 1],1.0,0.0
232,[19  6],[1 0 1 1 3 1 1 1 2 1 1 0 0],0.0,1.0
233,[13  3],[1 1 2 2 0 1 1 0 2 2 0 1 0],0.48807635039183983,0.5119236496081602
234,[20  6],[2 0 1 0 1 2 1 0 1 0 2 1 2],0.0,1.0
235,[13 10],[1 1 0 1 2 2 1 2 1 1 0 1 0],0.5071724232816881,0.49282757671831195
236,[17 10],[1 1 2 2 0 2 1 1 0 0 0 1 2],0.0,1.0
237,[8 4],[1 1 2 2 1 3 0 1 2 0 0 0 0],1.0,0.0
238,[12  8],[1 1 1 0 2 0 1 3 1 1 2 0 0],0.5720410729871661,0.42795892701283383
239,[10 10],[0 1 1 1 2 2 0 0 1 0 2 3 0],1.0,0.0
240,[19 10],[0 1 1 1 2 2 0 0 2 0 2 3 0],0.0,1.0
241,[17 10],[1 0 1 1 0 2 1 2 1 0 1 2 1],0.0,1.0
242,[15 11],[2 0 0 2 1 2 0 0 1 1 1 1 2],0.47122963570572113,0.5287703642942788
243,[11  5],[0 0 1 3 2 2 1 0 0 1 2 1 0],1.0,0.0
244,[11  6],[1 0 2 0 0 3 0 3 0 2 0 1 1],1.0,0.0
245,[18 11],[3 1 1 0 0 1 1 2 0 1 1 2 0],0.0,1.0
246,[15  8],[1 1 0 2 1 1 2 1 1 1 2 0 0],0.5465002982059368,0.45349970179406324
247,[13  8],[1 2 0 2 1 1 0 2 0 1 0 1 2],0.5724990698941905,0.4275009301058095
248,[13  2],[3 3 0 1 0 0 1 0 1 3 1 0 0],0.5162132653299765,0.48378673467002364
249,[21 10],[2 1 1 1 1 0 0 0 2 1 1 1 2],0.0,1.0
250,[ 8 10],[0 2 0 1 0 2 0 2 2 0 1 2 1],1.0,0.0
251,[15 10],[0 1 0 2 0 1 0 1 2 2 1 1 2],0.5528214952583214,0.44717850474167864
252,[12  3],[1 1 1 0 1 1 0 2 1 0 1 3 1],0.5134114148935669,0.48658858510643316
253,[5 7],[0 1 2 0 1 1 1 1 2 2 1 0 1],1.0,0.0
254,[11  7],[0 1 2 0 1 2 1 1 2 2 1 0 1],1.0,0.0
255,[14  4],[1 0 2 1 2 1 0 2 1 0 1 0 2],0.44411520755790546,0.5558847924420945
256,[13  5],[0 2 1 0 1 1 1 2 0 2 1 2 0],0.4583755591346999,0.5416244408653001
257,[13 11],[1 0 1 2 0 0 2 2 0 1 1 2 1],0.5188187330044637,0.4811812669955363
258,[20  3],[0 0 1 2 0 1 1 3 1 1 0 1 2],0.0,1.0
259,[17 10],[1 0 1 0 0 1 3 2 1 1 0 2 1],0.0,1.0
260,[19 10],[1 1 0 2 2 1 0 1 1 1 0 2 1],0.0,1.0
261,[20  8],[1 0 1 0 3 0 0 2 1 1 1 0 3],0.0,1.0
262,[13 10],[1 1 1 2 0 2 1 0 1 1 0 1 2],0.5762738937871467,0.4237261062128533
263,[14  4],[2 1 2 1 2 1 0 0 1 0 0 0 3],0.42293189481723925,0.5770681051827609
264,[13 10],[0 2 2 2 1 0 0 0 1 0 3 1 1],0.6088462674226632,0.3911537325773368
265,[16  8],[2 0 0 0 1 1 0 1 1 1 1 3 2],0.5551214633274436,0.44487853667255634
266,[13  2],[0 2 2 0 3 2 0 1 1 0 0 0 2],0.44730658575292276,0.5526934142470773
267,[21 10],[1 1 0 1 1 1 1 1 2 1 1 2 0],0.0,1.0
268,[12  4],[0 0 1 1 0 2 2 1 0 2 1 2 1],0.5143082072078624,0.4856917927921376
269,[21  9],[2 0 0 2 1 1 0 1 2 0 1 1 2],0.0,1.0
270,[9 6],[0 1 2 2 1 3 1 1 0 0 0 1 1],1.0,0.0
271,[15  7],[3 0 0 1 1 1 2 1 1 0 0 2 1],0.5522654034027378,0.4477345965972622
272,[19  6],[2 1 0 1 0 2 2 2 1 1 0 1 0],0.0,1.0
273,[21  7],[2 1 2 0 0 0 2 1 2 1 1 1 0],0.0,1.0
274,[20  2],[1 2 1 1 0 0 1 0 1 1 2 1 2],0.0,1.0
275,[15 10],[2 1 1 0 1 1 1 2 0 0 1 2 1],0.5184539053032804,0.4815460946967196
276,[15  3],[3 0 1 2 1 0 1 1 0 2 0 2 0],0.4271694542914728,0.5728305457085273
277,[18  9],[2 1 0 2 1 0 0 2 2 1 1 0 1],0.0,1.0
278,[18  8],[1 0 1 0 0 1 1 1 2 2 1 2 1],0.0,1.0
279,[17 10],[1 1 0 1 2 1 1 1 1 1 1 1 1],0.0,1.0
280,[9 6],[1 0 2 1 1 2 2 0 0 0 2 0 2],1.0,0.0
281,[12  2],[0 1 1 3 0 1 1 1 2 1 1 1 0],0.4896691816290599,0.5103308183709401
282,[15  9],[1 1 1 0 1 2 0 1 2 1 0 3 0],0.5161248066944328,0.48387519330556716
283,[11  9],[0 0 2 3 1 2 1 1 1 0 1 1 0],1.0,0.0
284,[11  6],[1 1 1 2 0 1 2 1 1 0 1 1 1],1.0,0.0
285,[16  9],[2 1 0 0 0 1 0 0 2 2 2 2 1],0.556560768664556,0.443439231335444
286,[4 3],[2 3 2 0 1 0 0 2 0 0 0 1 2],1.0,0.0
287,[10  4],[0 1 1 2 0 2 1 2 1 1 1 0 1],1.0,0.0
288,[20  4],[1 0 0 2 1 1 3 0 1 0 2 0 2],0.0,1.0
289,[8 9],[1 1 0 0 3 2 0 1 2 2 1 0 0],1.0,0.0
290,[18 10],[1 1 1 0 0 1 1 3 0 1 1 1 2],0.0,1.0
291,[13 11],[2 1 2 0 1 2 1 2 0 0 1 1 0],0.4758374264753574,0.5241625735246427
292,[17  5],[1 1 1 2 1 1 1 0 1 2 0 1 1],0.0,1.0
293,[18 10],[1 0 0 3 1 1 1 1 1 1 2 0 1],0.0,1.0
294,[18  9],[1 0 2 1 2 1 1 1 1 2 1 0 0],0.0,1.0
295,[20 10],[0 0 1 0 0 1 1 2 1 2 0 4 1],0.0,1.0
296,[20 10],[1 0 0 0 1 0 2 4 0 1 1 0 3],0.0,1.0
297,[12 10],[1 1 2 0 2 0 2 1 1 0 1 1 1],0.5468113862274042,0.45318861377259584
298,[4 6],[0 4 0 2 1 2 1 1 0 1 0 0 1],1.0,0.0
299,[13  2],[0 2 0 2 2 1 2 2 1 0 0 1 0],0.41684810103249975,0.5831518989675003
300,[15 10],[1 1 0 0 1 2 1 1 2 0 3 0 1],0.5169783979224484,0.4830216020775517
